rank,ticker,sector,official_model_weighting,candidate_category,candidate_label,lbo_status,lbo_rating,final_score,nlp_stagnation_score,financial_feasibility_score,fcf_margin,fcf,debt_to_ebitda,interest_coverage,capex_to_ebitda,fcf_to_debt,has_market_data,market_pressure_score,validation_score,validation_label,strong_validation_label,relative_return_vs_spy,max_drawdown_since_ranking,volatility_since_ranking,event_type,event_score,event_date,event_summary,source,notes,model_explanation
56,JNJ,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7017,0.606,0.925,0.2143,18248000000.0,0.267,81.721,0.202,3.041,0,,0.0,0,0,,,,none,0,,,,,JNJ ranks #56 under the official 70/30 NLP-finance model. NLP stagnation score is 0.606. Financial feasibility score is 0.925. Final score is 0.702. Market validation data is not currently available.
57,KEYS,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Review candidate,Pass,Ideal,0.7012,0.6074,0.92,0.2216,1211000000.0,1.211,17.41,0.133,0.677,0,,0.0,0,0,,,,none,0,,,,,KEYS ranks #57 under the official 70/30 NLP-finance model. NLP stagnation score is 0.607. Financial feasibility score is 0.920. Final score is 0.701. Market validation data is not currently available.
58,CSX,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Fail,Marginal,0.7009,0.6563,0.805,0.2222,3257000000.0,1.3,10.108,0.318,0.352,0,,0.0,0,0,,,,none,0,,,,,CSX ranks #58 under the official 70/30 NLP-finance model. NLP stagnation score is 0.656. Financial feasibility score is 0.805. Final score is 0.701. Market validation data is not currently available.
59,APTV,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Review candidate,Pass,Marginal,0.7007,0.761,0.56,0.0494,990000000.0,3.097,5.47,0.367,0.129,0,,0.0,0,0,,,,none,0,,,,,APTV ranks #59 under the official 70/30 NLP-finance model. NLP stagnation score is 0.761. Financial feasibility score is 0.560. Final score is 0.701. Market validation data is not currently available.
60,BKNG,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6983,0.5882,0.955,0.3276,6999000000.0,2.618,17.47,0.054,0.422,0,,0.0,0,0,,,,none,0,,,,,BKNG ranks #60 under the official 70/30 NLP-finance model. NLP stagnation score is 0.588. Financial feasibility score is 0.955. Final score is 0.698. Market validation data is not currently available.
61,STZ,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6975,0.7157,0.655,0.1517,1510900000.0,2.971,9.459,0.353,0.141,0,,0.0,0,0,,,,none,0,,,,,STZ ranks #61 under the official 70/30 NLP-finance model. NLP stagnation score is 0.716. Financial feasibility score is 0.655. Final score is 0.698. Market validation data is not currently available.
62,GE,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Marginal,0.6967,0.6911,0.71,0.1224,4327000000.0,0.078,1.406,0.033,2.122,0,,0.0,0,0,,,,none,0,,,,,GE ranks #62 under the official 70/30 NLP-finance model. NLP stagnation score is 0.691. Financial feasibility score is 0.710. Final score is 0.697. Market validation data is not currently available.
63,T,Communication Services,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6947,0.6538,0.79,0.1671,20461000000.0,0.12,3.493,0.423,4.021,0,,0.0,0,0,,,,none,0,,,,,T ranks #63 under the official 70/30 NLP-finance model. NLP stagnation score is 0.654. Financial feasibility score is 0.790. Final score is 0.695. Market validation data is not currently available.
64,AVGO,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6945,0.5829,0.955,0.4923,17633000000.0,2.453,9.33,0.027,0.43,0,,0.0,0,0,,,,none,0,,,,,AVGO ranks #64 under the official 70/30 NLP-finance model. NLP stagnation score is 0.583. Financial feasibility score is 0.955. Final score is 0.695. Market validation data is not currently available.
65,PAYX,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6927,0.591,0.93,0.3185,1563200000.0,0.361,55.549,0.065,1.957,0,,0.0,0,0,,,,none,0,,,,,PAYX ranks #65 under the official 70/30 NLP-finance model. NLP stagnation score is 0.591. Financial feasibility score is 0.930. Final score is 0.693. Market validation data is not currently available.
66,TECH,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6917,0.6238,0.85,0.1902,216149000.0,0.031,21.427,0.094,17.292,0,,0.0,0,0,,,,none,0,,,,,TECH ranks #66 under the official 70/30 NLP-finance model. NLP stagnation score is 0.624. Financial feasibility score is 0.850. Final score is 0.692. Market validation data is not currently available.
67,ADBE,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6899,0.557,0.98,0.3577,6942000000.0,0.199,58.85,0.048,4.631,0,,0.0,0,0,,,,none,0,,,,,ADBE ranks #67 under the official 70/30 NLP-finance model. NLP stagnation score is 0.557. Financial feasibility score is 0.980. Final score is 0.690. Market validation data is not currently available.
68,LRCX,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6897,0.5781,0.95,0.2684,4677370000.0,0.9,24.808,0.091,0.942,0,,0.0,0,0,,,,none,0,,,,,LRCX ranks #68 under the official 70/30 NLP-finance model. NLP stagnation score is 0.578. Financial feasibility score is 0.950. Final score is 0.690. Market validation data is not currently available.
69,PEP,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6893,0.6375,0.81,0.0866,7924000000.0,0.474,14.635,0.369,1.119,0,,0.0,0,0,,,,none,0,,,,,PEP ranks #69 under the official 70/30 NLP-finance model. NLP stagnation score is 0.638. Financial feasibility score is 0.810. Final score is 0.689. Market validation data is not currently available.
70,HUM,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.689,0.6264,0.835,0.028,2977000000.0,0.12,12.31,0.21,5.159,0,,0.0,0,0,,,,none,0,,,,,HUM ranks #70 under the official 70/30 NLP-finance model. NLP stagnation score is 0.626. Financial feasibility score is 0.835. Final score is 0.689. Market validation data is not currently available.
71,ULTA,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6888,0.6325,0.82,0.0929,1040999000.0,0.032,1363.463,0.226,16.713,0,,0.0,0,0,,,,none,0,,,,,ULTA ranks #71 under the official 70/30 NLP-finance model. NLP stagnation score is 0.633. Financial feasibility score is 0.820. Final score is 0.689. Market validation data is not currently available.
72,GDDY,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6888,0.6411,0.8,0.2364,1005600000.0,5.28,4.344,0.058,0.265,0,,0.0,0,0,,,,none,0,,,,,GDDY ranks #72 under the official 70/30 NLP-finance model. NLP stagnation score is 0.641. Financial feasibility score is 0.800. Final score is 0.689. Market validation data is not currently available.
73,HSIC,Health Care,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Pass,Attractive,0.6886,0.658,0.76,0.0286,353000000.0,0.952,7.069,0.17,0.429,0,,0.0,0,0,,,,none,0,,,,,HSIC ranks #73 under the official 70/30 NLP-finance model. NLP stagnation score is 0.658. Financial feasibility score is 0.760. Final score is 0.689. Market validation data is not currently available.
74,BDX,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6874,0.6348,0.81,0.1092,2116000000.0,0.493,4.67,0.199,0.975,0,,0.0,0,0,,,,none,0,,,,,BDX ranks #74 under the official 70/30 NLP-finance model. NLP stagnation score is 0.635. Financial feasibility score is 0.810. Final score is 0.687. Market validation data is not currently available.
75,EFX,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6858,0.6776,0.705,0.0979,515500000.0,0.443,6.412,0.387,0.75,0,,0.0,0,0,,,,none,0,,,,,EFX ranks #75 under the official 70/30 NLP-finance model. NLP stagnation score is 0.678. Financial feasibility score is 0.705. Final score is 0.686. Market validation data is not currently available.
76,A,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6846,0.5966,0.89,0.2157,1474000000.0,2.064,14.211,0.184,0.441,0,,0.0,0,0,,,,none,0,,,,,A ranks #76 under the official 70/30 NLP-finance model. NLP stagnation score is 0.597. Financial feasibility score is 0.890. Final score is 0.685. Market validation data is not currently available.
77,INVH,Real Estate,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Insufficient data,0.684,0.7093,0.625,0.4543,1105057000.0,10.626,0.354,0.003,0.132,0,,0.0,0,0,,,,none,0,,,,,INVH ranks #77 under the official 70/30 NLP-finance model. NLP stagnation score is 0.709. Financial feasibility score is 0.625. Final score is 0.684. Market validation data is not currently available.
78,MCK,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6839,0.6041,0.87,0.0172,4769000000.0,1.21,24.612,0.084,0.847,0,,0.0,0,0,,,,none,0,,,,,MCK ranks #78 under the official 70/30 NLP-finance model. NLP stagnation score is 0.604. Financial feasibility score is 0.870. Final score is 0.684. Market validation data is not currently available.
79,PANW,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Marginal,0.6838,0.634,0.8,0.3817,2631200000.0,5.492,14.135,0.219,0.716,1,3.0,3.0,1,1,-0.2486,-0.3601,0.3702,none,0,,,,,PANW ranks #79 under the official 70/30 NLP-finance model. NLP stagnation score is 0.634. Financial feasibility score is 0.800. Final score is 0.684. The company shows 3 market-pressure signal(s). Maximum drawdown was -36.0%. Relative return vs SPY was -24.9%.
80,ORCL,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6837,0.6574,0.745,0.1696,8470000000.0,0.679,3.736,0.557,0.799,0,,0.0,0,0,,,,none,0,,,,,ORCL ranks #80 under the official 70/30 NLP-finance model. NLP stagnation score is 0.657. Financial feasibility score is 0.745. Final score is 0.684. Market validation data is not currently available.
81,HPE,Information Technology,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6824,0.6835,0.68,0.0549,1600000000.0,1.008,2.946,0.601,0.337,0,,0.0,0,0,,,,none,0,,,,,HPE ranks #81 under the official 70/30 NLP-finance model. NLP stagnation score is 0.683. Financial feasibility score is 0.680. Final score is 0.682. Market validation data is not currently available.
82,TT,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6821,0.5866,0.905,0.1182,2088900000.0,0.147,12.341,0.098,4.619,0,,0.0,0,0,,,,none,0,,,,,TT ranks #82 under the official 70/30 NLP-finance model. NLP stagnation score is 0.587. Financial feasibility score is 0.905. Final score is 0.682. Market validation data is not currently available.
83,NXPI,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6816,0.5966,0.88,0.2023,2686000000.0,0.105,8.358,0.173,5.372,0,,0.0,0,0,,,,none,0,,,,,NXPI ranks #83 under the official 70/30 NLP-finance model. NLP stagnation score is 0.597. Financial feasibility score is 0.880. Final score is 0.682. Market validation data is not currently available.
84,PG,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6811,0.5809,0.915,0.1681,13786000000.0,0.345,36.124,0.147,1.917,0,,0.0,0,0,,,,none,0,,,,,PG ranks #84 under the official 70/30 NLP-finance model. NLP stagnation score is 0.581. Financial feasibility score is 0.915. Final score is 0.681. Market validation data is not currently available.
85,POOL,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6808,0.5847,0.905,0.1494,828133000.0,0.064,77.228,0.077,16.739,0,,0.0,0,0,,,,none,0,,,,,POOL ranks #85 under the official 70/30 NLP-finance model. NLP stagnation score is 0.585. Financial feasibility score is 0.905. Final score is 0.681. Market validation data is not currently available.
86,TRMB,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6808,0.5997,0.87,0.1461,555100000.0,1.988,247.682,0.06,0.399,0,,0.0,0,0,,,,none,0,,,,,TRMB ranks #86 under the official 70/30 NLP-finance model. NLP stagnation score is 0.600. Financial feasibility score is 0.870. Final score is 0.681. Market validation data is not currently available.
87,YUM,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6799,0.5963,0.875,0.1863,1318000000.0,0.011,19.644,0.115,48.815,0,,0.0,0,0,,,,none,0,,,,,YUM ranks #87 under the official 70/30 NLP-finance model. NLP stagnation score is 0.596. Financial feasibility score is 0.875. Final score is 0.680. Market validation data is not currently available.
88,SBUX,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6772,0.6546,0.73,0.1022,3675100000.0,2.127,10.672,0.319,0.236,0,,0.0,0,0,,,,none,0,,,,,SBUX ranks #88 under the official 70/30 NLP-finance model. NLP stagnation score is 0.655. Financial feasibility score is 0.730. Final score is 0.677. Market validation data is not currently available.
89,BBY,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6764,0.6341,0.775,0.0155,675000000.0,0.467,30.269,0.318,0.579,0,,0.0,0,0,,,,none,0,,,,,BBY ranks #89 under the official 70/30 NLP-finance model. NLP stagnation score is 0.634. Financial feasibility score is 0.775. Final score is 0.676. Market validation data is not currently available.
90,APP,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6758,0.6033,0.845,0.576,1060848000.0,2.782,2.824,0.001,0.302,0,,0.0,0,0,,,,none,0,,,,,APP ranks #90 under the official 70/30 NLP-finance model. NLP stagnation score is 0.603. Financial feasibility score is 0.845. Final score is 0.676. Market validation data is not currently available.
91,CTAS,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6756,0.5988,0.855,0.1424,1255119000.0,0.916,18.355,0.15,0.62,0,,0.0,0,0,,,,none,0,,,,,CTAS ranks #91 under the official 70/30 NLP-finance model. NLP stagnation score is 0.599. Financial feasibility score is 0.855. Final score is 0.676. Market validation data is not currently available.
92,IR,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6754,0.5684,0.925,0.185,1272000000.0,0.002,13.276,0.065,249.798,0,,0.0,0,0,,,,none,0,,,,,IR ranks #92 under the official 70/30 NLP-finance model. NLP stagnation score is 0.568. Financial feasibility score is 0.925. Final score is 0.675. Market validation data is not currently available.
93,RTX,Industrials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Marginal,0.6752,0.7225,0.565,0.0793,5468000000.0,5.615,2.791,0.311,0.125,0,,0.0,0,0,,,,none,0,,,,,RTX ranks #93 under the official 70/30 NLP-finance model. NLP stagnation score is 0.722. Financial feasibility score is 0.565. Final score is 0.675. Market validation data is not currently available.
94,BALL,Materials,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Lower priority,Fail,Marginal,0.6744,0.6698,0.685,0.1023,818000000.0,0.19,2.807,0.551,2.266,0,,0.0,0,0,,,,none,0,,,,,BALL ranks #94 under the official 70/30 NLP-finance model. NLP stagnation score is 0.670. Financial feasibility score is 0.685. Final score is 0.674. Market validation data is not currently available.
95,VLO,Energy,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.674,0.5985,0.85,,6492000000.0,0.062,20.03,0.23,8.738,0,,0.0,0,0,,,,none,0,,,,,VLO ranks #95 under the official 70/30 NLP-finance model. NLP stagnation score is 0.599. Financial feasibility score is 0.850. Final score is 0.674. Market validation data is not currently available.
96,ACN,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6737,0.5574,0.945,0.1403,8996096000.0,0.1,185.374,0.056,9.507,0,,0.0,0,0,,,,none,0,,,,,ACN ranks #96 under the official 70/30 NLP-finance model. NLP stagnation score is 0.557. Financial feasibility score is 0.945. Final score is 0.674. Market validation data is not currently available.
97,LIN,Materials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6735,0.6107,0.82,0.168,5518000000.0,1.47,211.158,0.32,0.317,0,,0.0,0,0,,,,none,0,,,,,LIN ranks #97 under the official 70/30 NLP-finance model. NLP stagnation score is 0.611. Financial feasibility score is 0.820. Final score is 0.673. Market validation data is not currently available.
98,HST,Real Estate,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Financial caution,Fail,Insufficient data,0.6731,0.5951,0.855,0.2162,1148000000.0,0.588,4.33,0.192,1.281,0,,0.0,0,0,,,,none,0,,,,,HST ranks #98 under the official 70/30 NLP-finance model. NLP stagnation score is 0.595. Financial feasibility score is 0.855. Final score is 0.673. Market validation data is not currently available.
99,GD,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6723,0.594,0.855,0.09,3806000000.0,0.294,9.849,0.177,2.534,0,,0.0,0,0,,,,none,0,,,,,GD ranks #99 under the official 70/30 NLP-finance model. NLP stagnation score is 0.594. Financial feasibility score is 0.855. Final score is 0.672. Market validation data is not currently available.
100,VRSK,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6718,0.5889,0.865,0.3098,830700000.0,0.384,8.153,0.172,1.616,0,,0.0,0,0,,,,none,0,,,,,VRSK ranks #100 under the official 70/30 NLP-finance model. NLP stagnation score is 0.589. Financial feasibility score is 0.865. Final score is 0.672. Market validation data is not currently available.
101,ROK,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6703,0.5847,0.87,0.1339,1213000000.0,1.036,20.391,0.074,0.537,0,,0.0,0,0,,,,none,0,,,,,ROK ranks #101 under the official 70/30 NLP-finance model. NLP stagnation score is 0.585. Financial feasibility score is 0.870. Final score is 0.670. Market validation data is not currently available.
102,RL,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6696,0.6394,0.74,0.03,193500000.0,0.289,17.431,0.235,0.725,0,,0.0,0,0,,,,none,0,,,,,RL ranks #102 under the official 70/30 NLP-finance model. NLP stagnation score is 0.639. Financial feasibility score is 0.740. Final score is 0.670. Market validation data is not currently available.
103,SWKS,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6695,0.5558,0.935,0.3449,1646100000.0,0.0,17.469,0.139,,0,,0.0,0,0,,,,none,0,,,,,SWKS ranks #103 under the official 70/30 NLP-finance model. NLP stagnation score is 0.556. Financial feasibility score is 0.935. Final score is 0.670. Market validation data is not currently available.
104,D,Utilities,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Marginal,0.6686,0.8416,0.265,0.0792,1068000000.0,7.73,2.033,0.918,0.023,0,,0.0,0,0,,,,none,0,,,,,D ranks #104 under the official 70/30 NLP-finance model. NLP stagnation score is 0.842. Financial feasibility score is 0.265. Final score is 0.669. Market validation data is not currently available.
105,MSFT,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6685,0.5822,0.87,0.2807,59475000000.0,0.452,42.91,0.282,1.324,0,,0.0,0,0,,,,none,0,,,,,MSFT ranks #105 under the official 70/30 NLP-finance model. NLP stagnation score is 0.582. Financial feasibility score is 0.870. Final score is 0.669. Market validation data is not currently available.
106,AMZN,Consumer Discretionary,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.6675,0.6215,0.775,0.0561,32217000000.0,0.678,20.371,0.617,0.555,0,,0.0,0,0,,,,none,0,,,,,AMZN ranks #106 under the official 70/30 NLP-finance model. NLP stagnation score is 0.621. Financial feasibility score is 0.775. Final score is 0.668. Market validation data is not currently available.
107,LH,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6674,0.6213,0.775,0.0719,874100000.0,0.767,3.635,0.348,0.874,0,,0.0,0,0,,,,none,0,,,,,LH ranks #107 under the official 70/30 NLP-finance model. NLP stagnation score is 0.621. Financial feasibility score is 0.775. Final score is 0.667. Market validation data is not currently available.
108,AME,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.667,0.5542,0.93,0.2424,1599047000.0,0.32,21.242,0.067,2.444,0,,0.0,0,0,,,,none,0,,,,,AME ranks #108 under the official 70/30 NLP-finance model. NLP stagnation score is 0.554. Financial feasibility score is 0.930. Final score is 0.667. Market validation data is not currently available.
109,KIM,Real Estate,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Insufficient data,0.666,0.6708,0.655,0.5906,1053207000.0,6.95,2.553,0.016,0.132,0,,0.0,0,0,,,,none,0,,,,,KIM ranks #109 under the official 70/30 NLP-finance model. NLP stagnation score is 0.671. Financial feasibility score is 0.655. Final score is 0.666. Market validation data is not currently available.
110,ABBV,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6652,0.5859,0.85,0.4062,22062000000.0,4.775,5.736,0.058,0.342,1,0.0,0.0,0,0,-0.0393,-0.2074,0.264,none,0,,,,,ABBV ranks #110 under the official 70/30 NLP-finance model. NLP stagnation score is 0.586. Financial feasibility score is 0.850. Final score is 0.665. No market-pressure signal is currently flagged. Maximum drawdown was -20.7%. Relative return vs SPY was -3.9%.
111,CSGP,Real Estate,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6651,0.5815,0.86,0.1515,372000000.0,0.359,31.285,0.303,2.657,0,,0.0,0,0,,,,none,0,,,,,CSGP ranks #111 under the official 70/30 NLP-finance model. NLP stagnation score is 0.582. Financial feasibility score is 0.860. Final score is 0.665. Market validation data is not currently available.
112,LHX,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6649,0.5964,0.825,0.0848,1647000000.0,1.432,8.388,0.173,0.444,0,,0.0,0,0,,,,none,0,,,,,LHX ranks #112 under the official 70/30 NLP-finance model. NLP stagnation score is 0.596. Financial feasibility score is 0.825. Final score is 0.665. Market validation data is not currently available.
113,VRT,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6641,0.6145,0.78,0.1126,772600000.0,2.561,4.843,0.112,0.264,1,2.0,2.0,1,1,1.2356,-0.5669,0.642,none,0,,,,,VRT ranks #113 under the official 70/30 NLP-finance model. NLP stagnation score is 0.614. Financial feasibility score is 0.780. Final score is 0.664. The company shows 2 market-pressure signal(s). Maximum drawdown was -56.7%. Relative return vs SPY was 123.6%.
114,XYL,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.664,0.6121,0.785,0.0769,566000000.0,1.796,8.579,0.249,0.29,0,,0.0,0,0,,,,none,0,,,,,XYL ranks #114 under the official 70/30 NLP-finance model. NLP stagnation score is 0.612. Financial feasibility score is 0.785. Final score is 0.664. Market validation data is not currently available.
115,GIS,Consumer Staples,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Marginal,0.661,0.5972,0.81,0.104,2089100000.0,1.351,8.987,0.173,0.389,0,,0.0,0,0,,,,none,0,,,,,GIS ranks #115 under the official 70/30 NLP-finance model. NLP stagnation score is 0.597. Financial feasibility score is 0.810. Final score is 0.661. Market validation data is not currently available.
116,J,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6609,0.5713,0.87,0.294,837277000.0,2.846,9.303,0.176,0.377,0,,0.0,0,0,,,,none,0,,,,,J ranks #116 under the official 70/30 NLP-finance model. NLP stagnation score is 0.571. Financial feasibility score is 0.870. Final score is 0.661. Market validation data is not currently available.
117,CRH,Materials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6606,0.5987,0.805,0.0916,3200000000.0,0.515,13.289,0.312,1.067,0,,0.0,0,0,,,,none,0,,,,,CRH ranks #117 under the official 70/30 NLP-finance model. NLP stagnation score is 0.599. Financial feasibility score is 0.805. Final score is 0.661. Market validation data is not currently available.
118,PPG,Materials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6596,0.5672,0.875,0.1167,1895000000.0,0.35,17.942,0.192,2.018,0,,0.0,0,0,,,,none,0,,,,,PPG ranks #118 under the official 70/30 NLP-finance model. NLP stagnation score is 0.567. Financial feasibility score is 0.875. Final score is 0.660. Market validation data is not currently available.
119,AOS,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Ideal,0.6591,0.5538,0.905,0.1551,597700000.0,0.235,62.125,0.088,3.094,0,,0.0,0,0,,,,none,0,,,,,AOS ranks #119 under the official 70/30 NLP-finance model. NLP stagnation score is 0.554. Financial feasibility score is 0.905. Final score is 0.659. Market validation data is not currently available.
120,PNR,Industrials,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6588,0.5876,0.825,0.1323,543200000.0,2.052,8.467,0.095,0.331,1,2.0,2.0,1,1,-0.4502,-0.2919,0.3019,none,0,,,,,PNR ranks #120 under the official 70/30 NLP-finance model. NLP stagnation score is 0.588. Financial feasibility score is 0.825. Final score is 0.659. The company shows 2 market-pressure signal(s). Maximum drawdown was -29.2%. Relative return vs SPY was -45.0%.
121,BIIB,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6588,0.5854,0.83,0.1291,1270200000.0,0.232,28.524,0.037,0.726,0,,0.0,0,0,,,,none,0,,,,,BIIB ranks #121 under the official 70/30 NLP-finance model. NLP stagnation score is 0.585. Financial feasibility score is 0.830. Final score is 0.659. Market validation data is not currently available.
122,VRSN,Information Technology,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Fail,Situational,0.6582,0.5439,0.925,0.5412,808000000.0,0.096,13.288,0.044,8.08,0,,0.0,0,0,,,,none,0,,,,,VRSN ranks #122 under the official 70/30 NLP-finance model. NLP stagnation score is 0.544. Financial feasibility score is 0.925. Final score is 0.658. Market validation data is not currently available.
123,CRL,Health Care,70% NLP stagnation / 30% financial feasibility,Lower-priority candidate,Lower priority,Pass,Attractive,0.6569,0.6256,0.73,0.0885,365370000.0,1.166,8.352,0.342,0.336,0,,0.0,0,0,,,,none,0,,,,,CRL ranks #123 under the official 70/30 NLP-finance model. NLP stagnation score is 0.626. Financial feasibility score is 0.730. Final score is 0.657. Market validation data is not currently available.
124,AEP,Utilities,70% NLP stagnation / 30% financial feasibility,Watchlist candidate,Financial caution,Fail,Marginal,0.6565,0.6658,0.635,0.2496,4857000000.0,6.578,2.966,0.024,0.114,0,,0.0,0,0,,,,none,0,,,,,AEP ranks #124 under the official 70/30 NLP-finance model. NLP stagnation score is 0.666. Financial feasibility score is 0.635. Final score is 0.657. Market validation data is not currently available.
